Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Fri 04 Mar 2016 05:42:32,NewYork,Smorgas Chef at Scandinavia House,80,3,European,-73.97984,40.7493,"58 Park Avenue, New York City, NY 10016  (37th Street) ",2128479745,2658,3.9125,3,6,13,31,27,/Restaurant_Review-g60763-d1367989-Reviews-Smorgas_Chef_at_Scandinavia_House-New_York_City_New_York.html
Fri 04 Mar 2016 05:42:38,NewYork,Baluchi's,18,2,Indian,-73.9824,40.73985,"329 3rd Ave., 24th/25th, New York City, NY 10010 ",2126793434,8171,3.5556,1,1,6,7,3,/Restaurant_Review-g60763-d424229-Reviews-Baluchi_s-New_York_City_New_York.html
Fri 04 Mar 2016 05:42:58,NewYork,Dallas BBQ,40,NotFound,Barbecue,-73.94044,40.839622,"3956 Broadway, New York City, NY 10036 ",2125683700,2830,3.8537,3,1,9,14,14,/Restaurant_Review-g60763-d1045703-Reviews-Dallas_BBQ-New_York_City_New_York.html
Fri 04 Mar 2016 05:43:07,NewYork,Cafe Notte,1,3,International,-73.95231,40.77661,"1626 Second Avenue, New York City, NY 10028 ",2122885203,8823,2.0,0,1,0,0,0,/Restaurant_Review-g60763-d1390753-Reviews-Cafe_Notte-New_York_City_New_York.html
Fri 04 Mar 2016 05:43:22,NewYork,Piquant Restaurant,17,3,Mexican,-73.97426,40.680138,"259 Flatbush Avenue, New York City, NY 11217 ",7184844114,7663,3.5294,1,2,3,9,2,/Restaurant_Review-g60763-d1984495-Reviews-Piquant_Restaurant-New_York_City_New_York.html
Fri 04 Mar 2016 05:43:40,NewYork,Pukk,19,2,Asian,-73.9869,40.72541,"71 1st Ave, New York City, NY 10003 ",2122532741,4204,4.6842,0,0,1,4,14,/Restaurant_Review-g60763-d842854-Reviews-Pukk-New_York_City_New_York.html
Fri 04 Mar 2016 05:43:46,NewYork,Ho Yip Chinese Restaurant,34,NotFound,Chinese,-74.01203,40.70951,"110 Liberty St, New York City, NY 10006-1026 ",2123498286,2322,4.1471,0,1,6,14,13,/Restaurant_Review-g60763-d4515439-Reviews-Ho_Yip_Chinese_Restaurant-New_York_City_New_York.html
Fri 04 Mar 2016 05:44:08,NewYork,Bhutanese Ema Datsi,4,NotFound,Indian,-73.89678,40.742935,"67-12 Woodside Ave, New York City, NY 11377 ",7184588588,7495,3.5,1,0,0,2,1,/Restaurant_Review-g60763-d7371136-Reviews-Bhutanese_Ema_Datsi-New_York_City_New_York.html
Fri 04 Mar 2016 05:44:37,NewYork,Le Pain Quotidien,99,NotFound,French,-73.97846,40.77701,"50 W 72nd At Central Park W, New York City, NY 10023 ",2127129700,1925,4.0909,3,5,15,33,43,/Restaurant_Review-g60763-d4251223-Reviews-Le_Pain_Quotidien-New_York_City_New_York.html
Fri 04 Mar 2016 05:44:45,NewYork,Famous Original Ray's Pizza,78,NotFound,Pizza,-73.98239,40.7642,"1710 Broadway, New York City, NY 10019  ",2122477901,1830,3.9359,3,5,13,30,27,/Restaurant_Review-g60763-d3737263-Reviews-Famous_Original_Ray_s_Pizza-New_York_City_New_York.html
Fri 04 Mar 2016 05:45:05,NewYork,Rohm NYC,21,NotFound,Asian,-73.989006,40.73913,"27 E. 20th Street, New York City, NY 10003 ",2122287681,6303,3.9048,1,1,2,12,5,/Restaurant_Review-g60763-d1055184-Reviews-Rohm_NYC-New_York_City_New_York.html
Fri 04 Mar 2016 05:45:12,NewYork,Nice Green Bo,153,2,Chinese,-73.99807,40.715794,"66 Bayard Street, New York City, NY 10013-4940 ",2126252359,3301,3.719,12,11,23,69,38,/Restaurant_Review-g60763-d476861-Reviews-Nice_Green_Bo-New_York_City_New_York.html
Fri 04 Mar 2016 05:45:32,NewYork,Curry Express,3,NotFound,Indian,-73.9818,40.743046,"130 East 29th Street, New York City, NY 10016 ",2122510202,7806,3.3333,0,1,0,2,0,/Restaurant_Review-g60763-d4318075-Reviews-Curry_Express-New_York_City_New_York.html
Fri 04 Mar 2016 05:45:42,NewYork,Cha Cha's In Bocca Al Lupo Cafe,68,NotFound,Italian,-73.99853,40.71765,"113 Mulberry St, New York City, NY 10013 ",2124319755,7751,3.0147,23,6,6,13,20,/Restaurant_Review-g60763-d524902-Reviews-Cha_Cha_s_In_Bocca_Al_Lupo_Cafe-New_York_City_New_York.html
Fri 04 Mar 2016 05:45:59,NewYork,Little Hands Play Cafe,NotFound,NotFound,NotFound,-73.98462,40.725964,"433 E 6th St, New York City, NY 10009-6335 ",2123880882,9654,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d6560732-Reviews-Little_Hands_Play_Cafe-New_York_City_New_York.html
Fri 04 Mar 2016 05:46:07,NewYork,Pret A Manger,1,NotFound,NotFound,-73.97495,40.752266,"425 Lexington Avenue, New York City, NY 10174 ",NotFound,7153,4.0,0,0,0,1,0,/Restaurant_Review-g60763-d9767476-Reviews-Pret_A_Manger-New_York_City_New_York.html
Fri 04 Mar 2016 05:46:23,NewYork,Caeser's Palace Pizza,6,NotFound,NotFound,-73.97583,40.78608,"493 Amsterdam Ave, New York City, NY 10024 ",2127247886,5738,4.1667,0,0,0,5,1,/Restaurant_Review-g60763-d4514471-Reviews-Caeser_s_Palace_Pizza-New_York_City_New_York.html
Fri 04 Mar 2016 05:46:41,NewYork,Quiznos,1,NotFound,NotFound,-73.987,40.744804,"253 5th Ave, New York City, NY 10016 ",2127254744,8496,3.0,0,0,1,0,0,/Restaurant_Review-g60763-d4481045-Reviews-Quiznos-New_York_City_New_York.html
Fri 04 Mar 2016 05:46:50,NewYork,Timmys,40,2,NotFound,-73.94523,40.77902,"1737 York Ave, New York City, NY 10128-6841 ",2128609191,2901,4.075,0,1,8,18,13,/Restaurant_Review-g60763-d1160556-Reviews-Timmys-New_York_City_New_York.html
Fri 04 Mar 2016 05:47:05,NewYork,The Three Hens,5,NotFound,American,-73.98233,40.742455,"115 Lexington Avenue, New York City, NY ",2126794603,5566,4.4,0,1,0,0,4,/Restaurant_Review-g60763-d2335479-Reviews-The_Three_Hens-New_York_City_New_York.html
Fri 04 Mar 2016 05:47:20,NewYork,Pig 'N' Whistle On 36th,90,NotFound,Irish,-73.99023,40.752304,"202 W 36TH ST, New York City, NY 10018 ",12122394820,1390,4.0222,2,5,11,43,29,/Restaurant_Review-g60763-d3739105-Reviews-Pig_N_Whistle_On_36th-New_York_City_New_York.html
Fri 04 Mar 2016 05:47:34,NewYork,Almayass Restaurant NYC,117,4,Eastern European,-73.989,40.73937,"24 E 21st Street, New York City, NY 10010  (Between Broadway and Park) ",12124733100,743,4.4872,1,4,8,28,76,/Restaurant_Review-g60763-d3371327-Reviews-Almayass_Restaurant_NYC-New_York_City_New_York.html
